====================================================================================================================================
      Date     Time  Temp SpCond   Cond  Resist   TDS    Sal   Press   Depth    pH      pH   Chl   Chl Turbid+ ODOsat    ODO Battery
     y/m/d hh:mm:ss     C  uS/cm  uS/cm  Ohm*cm   g/L    ppt    psir  meters            mV  ug/L   RFU     NTU      %   mg/L   volts
------------------------------------------------------------------------------------------------------------------------------------
2019/12/20 15:43:14 12.42  46762  35526 28.1481 30.40  30.33   3.541   2.439  7.86   -68.2   1.4   0.3    10.4   93.6   8.26    12.8
2019/12/20 15:49:14 12.38  46264  35110 28.4816 30.07  29.97   3.559   2.452  7.85   -67.8   0.9   0.2     8.7   93.2   8.25    12.7
2019/12/20 15:55:14 12.37  46136  35007 28.5658 29.99  29.88   3.523   2.427  7.85   -67.6   1.0   0.2     8.5   93.0   8.24    12.7
2019/12/20 16:01:14 12.39  46317  35157 28.4437 30.11  30.01   3.516   2.422  7.85   -67.8   1.5   0.3     8.6   93.1   8.24    12.7
2019/12/20 16:07:14 12.41  46636  35420 28.2327 30.31  30.24   3.497   2.408  7.86   -67.9   0.7   0.2     8.8   93.2   8.23    12.7
2019/12/20 16:13:13 12.42  46812  35567 28.1156 30.43  30.37   3.478   2.395  7.86   -68.2   1.7   0.4    10.8   93.6   8.26    12.7
2019/12/20 16:19:13 12.43  46907  35647 28.0525 30.49  30.44   3.412   2.349  7.86   -68.3   1.4   0.3     7.8   93.4   8.24    12.7
2019/12/20 16:25:14 12.42  46758  35524 28.1497 30.39  30.33   3.373   2.323  7.86   -68.3   0.9   0.2     9.4   93.5   8.25    12.7
2019/12/20 16:31:14 12.44  47008  35731 27.9866 30.56  30.51   3.351   2.307  7.86   -68.4   1.6   0.4     8.1   93.7   8.25    12.8
2019/12/20 16:37:14 12.44  47019  35741 27.9789 30.56  30.52   3.321   2.287  7.86   -68.4   1.1   0.2     7.5   93.6   8.25    12.7
2019/12/20 16:43:14 12.45  47071  35784 27.9453 30.60  30.55   3.278   2.257  7.86   -68.4   0.9   0.2     6.2   93.6   8.25    12.7
2019/12/20 16:49:14 12.46  47177  35874 27.8753 30.67  30.63   3.236   2.228  7.87   -68.5   0.6   0.1     5.9   93.7   8.25    12.8
2019/12/20 16:55:14 12.46  47217  35906 27.8503 30.69  30.66   3.171   2.183  7.87   -68.6   1.7   0.4     6.3   93.8   8.26    12.7
2019/12/20 17:01:14 12.45  47155  35854 27.8913 30.65  30.61   3.124   2.151  7.87   -68.6   1.5   0.3     6.6   93.6   8.24    12.7
2019/12/20 17:07:13 12.45  47173  35869 27.8791 30.66  30.63   3.074   2.116  7.87   -68.6   1.7   0.4     7.2   93.7   8.25    12.7
2019/12/20 17:13:14 12.46  47207  35898 27.8564 30.68  30.65   3.039   2.093  7.87   -68.5   1.3   0.3     5.3   93.8   8.26    12.7
2019/12/20 17:19:14 12.46  47182  35877 27.8730 30.67  30.63   2.964   2.041  7.87   -68.7   0.7   0.2     6.8   93.7   8.25    12.7
2019/12/20 17:25:14 12.45  47114  35819 27.9179 30.62  30.59   2.964   2.040  7.87   -68.5   1.0   0.2     6.5   93.5   8.24    12.7
2019/12/20 17:31:14 12.44  47033  35753 27.9697 30.57  30.53   2.895   1.993  7.87   -68.5   1.7   0.4     8.1   93.4   8.23    12.7
2019/12/20 17:37:14 12.44  47047  35765 27.9606 30.58  30.54   2.851   1.963  7.86   -68.4   1.7   0.4    11.4   93.4   8.23    12.7
2019/12/20 17:43:14 12.44  46969  35701 28.0103 30.53  30.48   2.795   1.925  7.86   -68.4   1.3   0.3    11.2   93.2   8.22    12.7
2019/12/20 17:49:14 12.41  46561  35363 28.2779 30.26  30.19   2.756   1.898  7.86   -68.1   0.7   0.2    13.0   92.7   8.19    12.7
2019/12/20 17:55:14 12.42  46725  35501 28.1682 30.37  30.30   2.704   1.862  7.86   -68.1   1.9   0.4    13.5   92.8   8.19    13.0
2019/12/20 18:01:14 12.40  46403  35232 28.3829 30.16  30.07   2.659   1.831  7.86   -67.9   2.9   0.7    19.4   92.6   8.19    12.7
2019/12/20 18:07:14 12.37  45950  34861 28.6851 29.87  29.74   2.575   1.774  7.85   -67.6   1.2   0.3    22.4   92.6   8.21    12.7
2019/12/20 18:13:14 12.39  46215  35080 28.5062 30.04  29.94   2.530   1.743  7.85   -67.8   1.4   0.3    20.0   92.6   8.20    12.7
