============================================================================================================================
      Date     Time  Temp SpCond   Cond  Resist   TDS    Sal   Depth    pH      pH   Chl   Chl Turbid+ ODOsat    ODO Battery
     y/m/d hh:mm:ss     C  uS/cm  uS/cm  Ohm*cm   g/L    ppt  meters            mV  ug/L   RFU     NTU      %   mg/L   volts
----------------------------------------------------------------------------------------------------------------------------
2019/11/21 11:19:13 13.96  39277  30993 32.2657 25.53  25.05   1.525  7.75   -62.0   0.3   0.1     6.9   89.2   7.88    12.5
2019/11/21 11:25:13 13.94  39265  30974 32.2850 25.52  25.04   1.532  7.75   -62.0  -0.2  -0.1     6.9   89.1   7.88    12.4
2019/11/21 11:31:13 13.94  39323  31017 32.2403 25.56  25.08   1.541  7.75   -62.0   0.1   0.0     6.2   89.2   7.88    12.4
2019/11/21 11:37:13 13.94  39362  31050 32.2063 25.59  25.11   1.549  7.75   -62.0  -0.3  -0.1     6.8   89.2   7.88    12.4
2019/11/21 11:43:13 13.93  39439  31097 32.1578 25.64  25.16   1.557  7.75   -62.1  -0.7  -0.2     6.8   89.3   7.89    12.4
2019/11/21 11:49:13 13.91  39453  31099 32.1552 25.64  25.17   1.564  7.75   -62.1  -0.1   0.0     6.8   89.3   7.89    12.4
2019/11/21 11:55:13 13.90  39466  31101 32.1532 25.65  25.18   1.573  7.75   -62.1  -0.6  -0.1     6.6   89.4   7.90    12.5
2019/11/21 12:01:13 13.90  39471  31100 32.1547 25.66  25.18   1.579  7.75   -62.1  -0.8  -0.2     6.9   89.3   7.89    12.5
2019/11/21 12:07:13 13.89  39456  31087 32.1679 25.65  25.17   1.588  7.75   -62.1  -0.7  -0.2     7.0   89.3   7.89    12.4
2019/11/21 12:13:13 13.90  39447  31083 32.1724 25.64  25.16   1.597  7.75   -62.1   0.0   0.0     6.8   89.4   7.90    12.3
2019/11/21 12:19:13 13.88  39406  31038 32.2190 25.61  25.14   1.605  7.75   -62.1   0.5   0.1     6.8   89.4   7.90    12.4
2019/11/21 12:25:13 13.89  39370  31019 32.2388 25.59  25.11   1.614  7.75   -62.1   0.6   0.1     5.9   89.3   7.90    12.4
2019/11/21 12:31:13 13.90  39373  31022 32.2347 25.59  25.11   1.623  7.75   -62.1   0.1   0.0     5.8   89.2   7.89    12.4
2019/11/21 12:37:13 13.90  39379  31029 32.2281 25.60  25.12   1.632  7.75   -62.0  -0.4  -0.1     5.7   89.0   7.87    12.5
2019/11/21 12:43:13 13.92  39492  31136 32.1174 25.67  25.20   1.640  7.75   -62.0  -0.2   0.0     6.4   89.0   7.86    12.4
2019/11/21 12:49:13 13.93  39601  31228 32.0230 25.74  25.27   1.651  7.75   -62.1  -0.4  -0.1     5.3   89.1   7.87    12.4
2019/11/21 12:55:13 13.87  40327  31756 31.4898 26.21  25.79   1.662  7.76   -62.4   0.2   0.0     5.5   89.0   7.84    12.5
2019/11/21 13:01:13 13.80  41419  32558 30.7148 26.92  26.56   1.672  7.77   -62.7   0.4   0.1     5.3   89.0   7.81    12.4
2019/11/21 13:07:13 13.65  43457  34040 29.3772 28.25  28.00   1.683  7.78   -63.8   0.3   0.1     5.1   89.0   7.77    12.4
2019/11/21 13:13:13 13.65  43409  33997 29.4143 28.22  27.97   1.691  7.79   -63.9   0.4   0.1     4.9   89.1   7.78    12.3
2019/11/21 13:19:13 13.58  44142  34512 28.9757 28.69  28.49   1.700  7.79   -64.3   0.3   0.1     4.8   89.1   7.77    12.4
2019/11/21 13:25:13 13.55  44532  34792 28.7422 28.95  28.77   1.708  7.80   -64.5   0.3   0.1     4.7   89.0   7.75    12.4
2019/11/21 13:31:13 13.52  44898  35055 28.5269 29.18  29.03   1.716  7.80   -64.6   1.0   0.2     5.3   88.9   7.73    12.4
2019/11/21 13:37:13 13.51  44976  35106 28.4848 29.23  29.09   1.723  7.80   -64.6   1.2   0.3     5.1   88.9   7.73    12.5
2019/11/21 13:43:13 13.54  44638  34863 28.6835 29.01  28.84   1.732  7.80   -64.8   0.6   0.1     5.6   89.0   7.75    12.4
2019/11/21 13:49:13 13.53  44666  34878 28.6714 29.03  28.86   1.741  7.80   -64.9   0.3   0.1     5.5   89.1   7.75    12.3
2019/11/21 13:55:13 13.50  44928  35059 28.5237 29.20  29.05   1.752  7.81   -65.0   0.9   0.2     5.7   89.0   7.74    12.5
2019/11/21 14:01:13 13.42  45867  35726 27.9911 29.81  29.72   1.763  7.81   -65.3   1.2   0.3     6.7   88.8   7.71    12.4
2019/11/21 14:07:13 13.40  46004  35809 27.9263 29.90  29.82   1.775  7.81   -65.2   1.3   0.3     8.7   88.7   7.70    12.4
2019/11/21 14:13:13 13.39  46194  35946 27.8193 30.03  29.96   1.786  7.81   -65.4   0.8   0.2     6.2   88.6   7.68    12.4
2019/11/21 14:19:13 13.47  45190  35238 28.3782 29.37  29.24   1.798  7.80   -64.9   0.4   0.1     5.1   88.8   7.72    12.3
2019/11/21 14:25:14 13.49  44920  35041 28.5380 29.20  29.04   1.811  7.80   -64.9   1.0   0.2     5.4   88.6   7.71    12.5
2019/11/21 14:31:13 13.50  44573  34779 28.7527 28.97  28.80   1.825  7.80   -64.9   0.6   0.1     4.0   88.9   7.74    12.4
2019/11/21 14:37:13 13.48  44554  34746 28.7802 28.96  28.78   1.840  7.80   -64.8   0.7   0.2     4.2   88.6   7.73    12.3
2019/11/21 14:43:13 13.45  45163  35202 28.4074 29.36  29.22   1.854  7.81   -65.0   1.6   0.4     5.4   88.7   7.72    12.4
2019/11/21 14:49:13 13.43  45625  35546 28.1326 29.66  29.55   1.869  7.81   -65.4   0.7   0.2     6.6   88.7   7.70    12.3
2019/11/21 14:55:13 13.41  45884  35730 27.9873 29.82  29.73   1.882  7.81   -65.4   0.2   0.0     5.3   88.5   7.68    12.4
2019/11/21 15:01:14 13.39  46145  35913 27.8450 29.99  29.92   1.896  7.81   -65.4   0.4   0.1     5.5   88.4   7.66    12.5
2019/11/21 15:07:13 13.38  46255  35991 27.7846 30.07  30.00   1.910  7.82   -65.7  -0.1   0.0     5.3   88.3   7.65    12.4
2019/11/21 15:13:14 13.38  46258  35993 27.7831 30.07  30.00   1.923  7.82   -65.6   0.8   0.2     5.1   88.2   7.65    12.5
2019/11/21 15:19:13 13.38  46276  36005 27.7740 30.08  30.02   1.937  7.82   -65.6   0.3   0.1     5.7   88.3   7.66    12.4
2019/11/21 15:25:13 13.42  45355  35323 28.3100 29.48  29.35   1.949  7.81   -65.2  -0.5  -0.1     6.7   88.5   7.70    12.3
